Location(x=-58.276283, y=-6.637907, z=0.158620)
Location(x=-93.847206, y=19.783773, z=0.148620)
Location(x=35.193451, y=-73.624428, z=0.158620)
Location(x=-95.539200, y=-7.522654, z=0.158620)
Location(x=-98.221153, y=60.083977, z=0.158620)
Location(x=-5.195947, y=123.585892, z=0.158620)
Location(x=-36.490791, y=-23.309765, z=0.158620)
Location(x=102.655304, y=-59.220394, z=0.158620)
Location(x=-31.605637, y=-73.575775, z=0.158620)
Location(x=95.392563, y=-67.172348, z=0.158620)
Location(x=10.539554, y=121.656929, z=0.158620)
Location(x=-104.243210, y=127.794823, z=0.158620)
Location(x=115.853882, y=41.848637, z=0.158620)
Location(x=13.798530, y=36.366257, z=0.158620)
Location(x=-57.613106, y=-27.267828, z=0.158620)
Location(x=-32.677666, y=-32.619984, z=0.158620)
Location(x=-120.096497, y=89.100891, z=0.158620)
Location(x=-120.794342, y=-18.652130, z=0.158620)
Location(x=-96.557899, y=-27.325483, z=0.158620)
Location(x=87.116226, y=57.457088, z=0.158620)
Location(x=-37.091228, y=148.185806, z=0.158620)
Location(x=90.715767, y=90.197563, z=0.158620)
Location(x=34.526539, y=123.302338, z=0.158620)
Location(x=95.896538, y=140.109100, z=0.158620)
Location(x=-80.509651, y=4.954210, z=0.158620)
Location(x=-4.193499, y=122.301598, z=0.158620)
Location(x=101.190384, y=134.490860, z=0.158620)
Location(x=33.550648, y=36.698414, z=0.158620)
Location(x=96.471596, y=136.871414, z=0.158620)
Location(x=74.300659, y=-50.489288, z=0.158620)
Location(x=-13.469269, y=-48.327805, z=0.158620)
Location(x=21.151985, y=59.299717, z=0.158620)
Location(x=-19.242298, y=59.715412, z=0.158620)
Location(x=115.644241, y=111.189560, z=0.158620)
Location(x=-12.884424, y=34.540859, z=0.158620)
Location(x=-84.327393, y=3.516947, z=0.158620)
Location(x=60.381310, y=124.717545, z=0.158620)
Location(x=-96.926079, y=136.452820, z=0.158620)
Location(x=-9.272298, y=35.033871, z=0.158620)
Location(x=71.887093, y=-48.117683, z=0.158620)
Location(x=68.983215, y=-51.664703, z=0.158620)
Location(x=-68.939667, y=-51.362259, z=0.158620)
Location(x=96.830833, y=137.918991, z=0.158620)
Location(x=-124.010246, y=-7.834321, z=0.158620)
Location(x=65.196030, y=77.668144, z=0.158620)
Location(x=-61.606522, y=-21.392874, z=0.158620)
Location(x=58.860561, y=146.476059, z=0.158620)
Location(x=-121.528130, y=76.468216, z=0.158620)
Location(x=40.489761, y=77.355728, z=0.158620)
Location(x=1.104459, y=121.907364, z=0.158620)
Location(x=117.289993, y=12.917446, z=0.158620)
Location(x=68.846970, y=58.751877, z=0.158620)
Location(x=25.047543, y=150.472595, z=0.158620)
Location(x=97.552979, y=136.923950, z=0.158620)
Location(x=74.149979, y=5.248741, z=0.158620)
Location(x=66.898026, y=-77.632751, z=0.158620)
Location(x=-30.805834, y=78.227661, z=0.158620)
Location(x=116.629196, y=41.177284, z=0.158620)
Location(x=-48.458595, y=146.542786, z=0.158620)
Location(x=-34.443886, y=80.006958, z=0.158620)
Location(x=36.698170, y=4.900525, z=0.158620)
Location(x=-23.180130, y=3.122791, z=0.158620)
Location(x=-120.369133, y=-19.558048, z=0.158620)
Location(x=-94.974297, y=-17.685053, z=0.158620)
Location(x=116.834412, y=12.214434, z=0.158620)
Location(x=-34.546215, y=57.726032, z=0.158620)
Location(x=-112.658638, y=-50.909863, z=0.158620)
Location(x=64.697937, y=79.413910, z=0.158620)
Location(x=41.705013, y=123.757591, z=0.158620)
Location(x=37.206779, y=-48.370655, z=0.158620)
Location(x=-71.766380, y=121.597023, z=0.158620)
Location(x=92.624313, y=-24.208933, z=0.158620)
Location(x=57.931126, y=149.005951, z=0.158620)
Location(x=-61.490208, y=97.546738, z=0.158620)
Location(x=-98.509911, y=64.825874, z=0.158620)
Location(x=-121.434471, y=22.234737, z=0.158620)
Location(x=-120.304504, y=-0.875937, z=0.158620)
Location(x=16.146154, y=79.475212, z=0.158620)
Location(x=-94.510384, y=3.506392, z=0.158620)
Location(x=-122.051895, y=13.128723, z=0.158620)
Location(x=41.936768, y=6.385990, z=0.158620)
Location(x=80.421265, y=78.561142, z=0.158620)
Location(x=81.082520, y=5.737745, z=0.158620)
Location(x=-110.707596, y=-58.170322, z=0.158620)
Location(x=-60.947155, y=34.843842, z=0.158620)
Location(x=-58.026211, y=57.500885, z=0.158620)
Location(x=77.965729, y=146.027832, z=0.158620)
Location(x=68.061142, y=3.235428, z=0.158620)
Location(x=32.199409, y=-76.322548, z=0.158620)
Location(x=45.913376, y=149.171448, z=0.158620)
Location(x=-26.961555, y=4.529969, z=0.158620)
Location(x=91.905479, y=83.519012, z=0.158620)
Location(x=-34.402664, y=80.014397, z=0.158620)
Location(x=20.527893, y=123.563568, z=0.158620)
Location(x=52.457085, y=41.548164, z=0.158620)
Location(x=-120.404709, y=13.539706, z=0.158620)
Location(x=117.816650, y=52.702755, z=0.158620)
Location(x=64.073273, y=150.026566, z=0.158620)
Location(x=36.549240, y=5.028966, z=0.158620)
Location(x=40.408073, y=-48.787159, z=0.158620)
Location(x=-114.921272, y=111.161285, z=0.158620)
Location(x=-34.352726, y=37.813038, z=0.158620)
Location(x=23.883144, y=148.482117, z=0.158620)
Location(x=9.531651, y=123.311073, z=0.158620)
Location(x=101.654907, y=-61.118534, z=0.158620)
Location(x=-41.917305, y=147.994965, z=0.158620)
Location(x=-92.276436, y=-30.570343, z=0.158620)
Location(x=117.036484, y=24.106716, z=0.158620)
Location(x=-12.376221, y=58.719307, z=0.158620)
Location(x=30.513063, y=51.564957, z=0.158620)
Location(x=-58.840355, y=74.602280, z=0.167618)
Location(x=-111.390076, y=-50.268742, z=0.158620)
Location(x=-122.434494, y=62.224625, z=0.158620)
Location(x=14.923539, y=147.441635, z=0.158620)
Location(x=-88.682304, y=6.129842, z=0.158620)
Location(x=116.690697, y=99.725204, z=0.158620)
Location(x=-121.050064, y=12.144600, z=0.158620)
Location(x=63.774899, y=-49.208912, z=0.158620)
Location(x=-23.717491, y=149.695328, z=0.158620)
Location(x=112.272629, y=-41.008934, z=0.158620)
Location(x=-62.684929, y=-74.874863, z=0.158620)
Location(x=117.556976, y=-6.413262, z=0.158620)
Location(x=50.133694, y=-73.929497, z=0.158620)
Location(x=-112.578323, y=-51.932083, z=0.158620)
Location(x=-27.356630, y=37.922676, z=0.158620)
Location(x=92.516823, y=41.400600, z=0.158620)
Location(x=-24.666348, y=34.047035, z=0.158620)
Location(x=9.148801, y=-73.701698, z=0.158620)
Location(x=16.666945, y=5.965812, z=0.158620)
Location(x=-123.969154, y=63.553665, z=0.158620)
Location(x=-13.661811, y=34.303154, z=0.158620)
Location(x=-94.407288, y=-24.869217, z=0.158620)
Location(x=51.615551, y=125.322845, z=0.158620)
Location(x=-19.418980, y=148.695389, z=0.158620)
Location(x=72.264610, y=149.726013, z=0.158620)
Location(x=-21.797756, y=56.531456, z=0.158620)
Location(x=48.806931, y=149.040451, z=0.158620)
Location(x=112.251007, y=-49.965828, z=0.158620)
